company,yearFounded,link
Wazirx,2018,https://www.google.com/search?q=wazirx+founded&oq=wazirx+founded&aqs=chrome..69i57.9364j1j4&sourceid=chrome&ie=UTF-8
Tokenomy,2018,https://www.linkedin.com/company/tokenomy/
Localtrade,2018,https://suite.endole.co.uk/insight/company/11639812-localtrade-group-ltd
Instant-Bitex,2018,https://instantbitex.com/aboutus
Bitibu,2018,https://www.coingecko.com/en/exchanges/bitibu
Abcc,2018,https://www.cryptoninjas.net/2018/09/07/abcc-cryptocurrency-exchange-overview/
Rfinex,2018,https://twitter.com/rfinex_exchange?lang=en
Zebpay,2018,https://www.zebpay.com/about-us/
Bytex,2018,https://www.bytex.io/index.html
Bitmax,2018,https://bitmax.io/static/whitePaper_EN.pdf
Escodex,2018,https://www.escodex.com/
Coinbene,2018,https://www.coingecko.com/en/exchanges/coinbene
Cashierest,2018,https://www.cashierest.com/News/Details/10000341
Oasisdex,2018,https://medium.com/makerdao/announcing-oasis-direct-instantly-transfer-eth-for-mkr-dai-8cccec81688e
Coinmex,2018,https://coinmex.zendesk.com/hc/en-us/articles/360004643831
Bits-Blockchain,2018,https://www.coingecko.com/en/ico/datablockchain-io
